    Problema      dot(c,x)  Restrições   Variáveis       Saida   Iterações     Tempo
   afiro.mps  -4.64753e+02          27          32           0           6      0.1295
    agg2.mps  -2.02393e+07         516         302           0         220      0.0077
    agg3.mps   1.03121e+07         516         302           0         220      0.0095
     agg.mps  -3.59918e+07         488         163           0          97      0.0054
   bandm.mps  -1.58628e+02         305         472           0         316      0.0133
   blend.mps  -3.08121e+01          74          83           0          68      0.0025
  degen2.mps  -1.43518e+03         444         534           0         784      0.0491
  degen3.mps  -9.89593e+02        1503        1818           3        1000      0.1286
  dfl001.mps   6.58555e+07        6071       12230           3        1000      0.1624
    e226.mps  -1.16389e+01         223         282           0         250      0.0118
etamacro.mps  -7.55715e+02         400         688           0         490      0.0163
    farm.mps   1.75000e+04           7          12           0           0      0.0011
  israel.mps  -8.96645e+05         174         142           0         132      0.0089
kleemin3.mps  -1.00000e+04           3           3           0           0      0.0012
kleemin4.mps  -1.00000e+06           4           4           0           0      0.0011
kleemin5.mps  -1.00000e+08           5           5           0           0      0.0014
kleemin6.mps  -1.00000e+10           6           6           0           0      0.0013
kleemin7.mps  -1.00000e+12           7           7           0           0      0.0012
kleemin8.mps  -1.00000e+14           8           8           0           0      0.0012
   lotfi.mps  -2.52647e+01         153         308           0         148      0.0056
   sc105.mps  -5.22021e+01         105         103           0          36      0.0025
   sc205.mps  -5.22021e+01         205         203           0          82      0.0048
   sc50a.mps  -6.45751e+01          50          48           0          15      0.0019
   sc50b.mps  -7.00000e+01          50          48           0          13      0.0019
 scagr25.mps  -1.47534e+07         471         500           0         439      0.0179
  scagr7.mps  -2.33139e+06         129         140           0         106      0.0044
  scfxm1.mps   1.84168e+04         330         457           0         334      0.0154
  scfxm2.mps   3.66603e+04         660         914           0         678      0.0336
  scfxm3.mps   5.49112e+04         990        1371           3        1000      0.0528
   scsd1.mps   8.66667e+00          77         760           0         127      0.0051
   scsd6.mps   5.05000e+01         147        1350           0         378      0.0177
  sctap1.mps   1.41225e+03         300         480           0         164      0.0062
  sctap2.mps   1.72481e+03        1090        1880           0         401      0.0190
stocfor1.mps  -4.11320e+04         117         111           0          47      0.0024
