    Problema      dot(c,x)  Restrições   Variáveis       Saida   Iterações     Tempo
   afiro.mps  -4.64753e+02          27          51           0          79      0.0430
    agg2.mps           NaN         516         758           3          49      1.5551
    agg3.mps           NaN         516         758           3          47      1.3721
     agg.mps           NaN         488         615           3          62      1.1720
   bandm.mps   4.09883e+02         305         472           1        1000     14.7939
   blend.mps  -3.08121e+01          74         114           0          19      0.0466
  degen2.mps  -1.43518e+03         444         757           0          13      0.4452
  degen3.mps  -9.87294e+02        1503        2604           2          65     30.0381
  dfl001.mps           Inf        6071       12230           5         Inf         Inf
    e226.mps  -1.87519e+01         223         472           0          28      0.5879
etamacro.mps           Inf         400         688           5         Inf         Inf
    farm.mps   1.75000e+04           7          17           0          24      0.0126
  israel.mps  -8.96645e+05         174         316           0         795      9.4079
kleemin3.mps  -1.00000e+04           3           6           0          19      0.0037
kleemin4.mps  -1.00000e+06           4           8           0          30      0.0112
kleemin5.mps  -1.00000e+08           5          10           0          59      0.0264
kleemin6.mps  -1.00000e+10           6          12           0          82      0.0414
kleemin7.mps  -1.00000e+12           7          14           0         117      0.0395
kleemin8.mps           NaN           8          16           3          43      0.0134
   lotfi.mps           NaN         153         366           3         535      6.2393
   sc105.mps  -5.22021e+01         105         163           0          58      0.1318
   sc205.mps  -5.22021e+01         205         317           0          55      0.2690
   sc50a.mps  -6.45751e+01          50          78           0          26      0.0281
   sc50b.mps  -7.00000e+01          50          78           0          22      0.0241
 scagr25.mps           NaN         471         671           3         758      9.6105
  scagr7.mps   1.09842e+63         129         185           1        1000      2.1492
  scfxm1.mps   3.55989e+32         330         600           1        1000     19.7649
  scfxm2.mps           NaN         660        1200           3         300     17.6278
  scfxm3.mps   8.45375e+28         990        1800           2         198     30.1215
   scsd1.mps   8.66667e+00          77         760           0          11      0.1788
   scsd6.mps   5.05000e+01         147        1350           0          13      0.7776
  sctap1.mps   1.41225e+03         300         660           0          19      0.4311
  sctap2.mps   1.72481e+03        1090        2500           0          15      3.2050
stocfor1.mps  -4.11320e+04         117         165           0          47      0.1462
