    Problema      dot(c,x)  Saida  Iterações  Tempo
  noswot.mps  -4.30000e+01      0     12  0.8667
   scsd6.mps   5.05000e+01      0     13  0.6018
   scsd8.mps   9.05000e+02      0     12  1.9552
  wood1p.mps   1.44290e+00      0     18  4.6026
  sctap2.mps   1.72481e+03      0     15  2.5758
  sctap3.mps   1.42400e+03      0     17  5.0098
kleemin3.mps  -1.00000e+04      0     19  0.0032
kleemin4.mps  -1.00000e+06      0     30  0.0054
kleemin5.mps  -1.00000e+08      0     59  0.0130
kleemin6.mps  -1.00000e+10      0     82  0.0494
kleemin7.mps  -1.00000e+12      0    117  0.0287
    farm.mps   1.75000e+04      0     24  0.0068
stocfor2.mps  -3.90244e+04      0     61  18.0098
   afiro.mps  -4.64753e+02      0     79  0.0792
   blend.mps  -3.08121e+01      0     19  0.0424
  israel.mps  -8.96645e+05      0    795  6.5928
   sc105.mps  -5.22021e+01      0     58  0.1224
   sc50a.mps  -6.45751e+01      0     26  0.0181
   sc50b.mps  -7.00000e+01      0     22  0.0148
 share2b.mps  -4.15732e+02      0     23  0.0601
stocfor1.mps  -4.11320e+04      0     47  0.1190
   sc205.mps  -5.22021e+01      0     55  0.2214
  sctap1.mps   1.41225e+03      0     19  0.2830
