    Problema      dot(c,x)  Saida  Tempo
   scsd6.mps   5.05000e+01      0  0.5291
   scsd8.mps   9.05000e+02      0  1.5635
  sctap2.mps   1.72481e+03      0  2.0151
  sctap3.mps   1.42400e+03      0  3.4001
  wood1p.mps   1.44290e+00      0  4.4896
  sctap2.mps   1.72481e+03      0  2.0490
  sctap3.mps   1.42400e+03      0  3.3565
 share2b.mps  -4.15732e+02      0  0.0841
kleemin3.mps  -1.00000e+04      0  0.0046
kleemin4.mps  -1.00000e+06      0  0.0107
kleemin5.mps  -1.00000e+08      0  0.0118
kleemin6.mps  -1.00000e+10      0  0.0193
kleemin7.mps  -1.00000e+12      0  0.0368
    farm.mps   1.75000e+04      0  0.0069
stocfor2.mps  -3.90244e+04      0  12.3445
  degen3.mps  -9.87294e+02      0  4.4814
   afiro.mps  -4.64753e+02      0  0.0473
   blend.mps  -3.08121e+01      0  0.0430
  israel.mps  -8.96645e+05      0  7.5244
   sc105.mps  -5.22021e+01      0  0.1348
   sc50a.mps  -6.45751e+01      0  0.0181
   sc50b.mps  -7.00000e+01      0  0.0181
 share2b.mps  -4.15732e+02      0  0.0773
stocfor1.mps  -4.11320e+04      0  0.1451
   capri.mps   1.91262e+03      0  0.9480
    e226.mps  -1.87519e+01      0  0.3530
   sc205.mps  -5.22021e+01      0  0.2264
  sctap1.mps   1.41225e+03      0  0.2690
   stair.mps  -4.28516e+02      0  0.9098
