    Problema      dot(c,x)  Restrições   Variáveis       Saida   Iterações       Tempo
  25fv47.mps   9.97697e+02         821        1571           3        1000      0.1460
 80bau3b.mps   4.96187e+05        2262        9799           3        1000      0.0742
adlittle.mps   2.25495e+05          56          97           0          73      0.0022
   afiro.mps  -4.64753e+02          27          32           0           5      0.0067
    agg2.mps  -2.02393e+07         516         302           0         165      0.0137
    agg3.mps   1.03121e+07         516         302           0         188      0.0096
     agg.mps  -3.59918e+07         488         163           0          90      0.0039
   bandm.mps  -1.58628e+02         305         472           0         264      0.0110
beaconfd.mps   3.35925e+04         173         262           0          16      0.0137
   blend.mps  -3.08121e+01          74          83           0          83      0.0112
    bnl1.mps   1.97763e+03         643        1175           3        1000      0.0459
    bnl2.mps   1.80753e+03        2324        3489           3        1000      0.0765
 boeing1.mps  -3.35214e+02         351         384           0         356      0.0103
 boeing2.mps  -3.15019e+02         166         143           0         148      0.0038
  bore3d.mps   1.37308e+03         233         315           0          44      0.0040
  brandy.mps   1.51851e+03         220         249           0         214      0.0087
   capri.mps   2.69001e+03         271         353           0         171      0.0058
   cre-a.mps   2.24977e+07        3516        4067           3        1000      0.0463
   cre-b.mps   1.73529e+07        9648       72447           3        1000      0.3956
   cre-c.mps   2.47216e+07        3068        3678           3        1000      0.0448
   cre-d.mps   2.17067e+07        8926       69980           3        1000      0.3323
   cycle.mps  -5.22639e+00        1903        2857           0         149      0.0359
  czprob.mps   2.18520e+06         929        3523           0         718      0.0449
  d2q06c.mps   3.24619e+04        2171        5167           3        1000      0.0829
  d6cube.mps   3.42691e+02         415        6184           3        1000      0.8869
  degen2.mps  -1.43518e+03         444         534           0         447      0.0247
  degen3.mps  -1.09233e+03        1503        1818           3        1000      0.1143
  dfl001.mps   5.83859e+06        6071       12230           3        1000      0.1294
    e226.mps  -1.16389e+01         223         282           0         300      0.0108
etamacro.mps  -7.55715e+02         400         688           0         516      0.0147
    farm.mps   1.75000e+04           7          12           0           0      0.0014
fffff800.mps   5.55680e+05         524         854           0         400      0.0143
  finnis.mps   1.72791e+05         497         614           0         203      0.0083
   fit1d.mps  -9.14638e+03          24        1026           0         205      0.0192
   fit1p.mps   9.14638e+03         627        1677           0         527      0.0573
   fit2d.mps  -6.84643e+04          25       10500           0         168      0.2416
   fit2p.mps   3.05808e+04        3000       13525           3        1000      0.6351
 forplan.mps  -6.64219e+02         161         421           0         178      0.0112
  ganges.mps  -1.09586e+05        1309        1681           0         456      0.0193
gfrd-pnc.mps   6.90224e+06         616        1092           0         308      0.0120
greenbea.mps  -4.29585e+08        2392        5405           3        1000      0.0855
greenbeb.mps  -5.48725e+06        2392        5405           3        1000      0.0983
  grow15.mps  -1.06871e+08         300         645           0         683      0.0315
  grow22.mps  -1.60834e+08         440         946           0         992      0.0677
   grow7.mps  -4.77878e+07         140         301           0         279      0.0095
  israel.mps  -8.96645e+05         174         142           0         109      0.0046
     kb2.mps  -1.74990e+03          43          41           0          55      0.0016
  ken-07.mps  -6.79531e+08        2426        3602           3        1000      0.0248
  ken-11.mps  -7.59532e+09       14694       21349           3        1000      0.1741
  ken-13.mps  -1.20086e+10       28632       42659           3        1000      0.3836
  ken-18.mps  -6.33606e+10      105127      154699           3        1000      1.0299
kleemin3.mps  -1.00000e+04           3           3           0           0      0.0008
kleemin4.mps  -1.00000e+06           4           4           0           0      0.0005
kleemin5.mps  -1.00000e+08           5           5           0           0      0.0145
kleemin6.mps  -1.00000e+10           6           6           0           0      0.0009
kleemin7.mps  -1.00000e+12           7           7           0           0      0.0120
kleemin8.mps  -1.00000e+14           8           8           0           0      0.0009
   lotfi.mps  -2.52647e+01         153         308           0         135      0.0118
   maros.mps  -5.88412e+04         846        1443           3        1000      0.0509
maros-r7.mps   1.49719e+06        3136        9408           0         143      1.7201
 modszk1.mps   3.20620e+02         687        1620           0         547      0.0205
    nesm.mps   1.14075e+07         662        2923           3        1000      0.0607
  noswot.mps  -4.30000e+01         182         128           0          49      0.0084
   nsic1.mps  -9.16855e+06         451         463           0         100      0.0055
  osa-07.mps   5.35723e+05        1118       23949           0         637      0.1685
  osa-14.mps   1.06380e+06        2337       52460           3        1000      0.4797
  osa-30.mps   1.81803e+06        4350      100024           3        1000      1.2387
  osa-60.mps   3.62152e+06       10280      232966           3        1000      3.6174
   p0282.mps   1.76868e+05         241         282           0          29      0.0145
   p0291.mps   1.70513e+03         252         291           0          13      0.0027
   p0548.mps   3.15255e+02         176         548           0          93      0.0047
  pds-02.mps   2.88579e+10        2953        7535           0         752      0.0718
  pds-06.mps   2.75201e+10        9881       28655           3        1000      0.1708
  pds-10.mps   2.63154e+10       16558       48763           3        1000      0.3614
  pds-20.mps   2.32745e+10       33874      105728           3        1000      0.7556
  perold.mps  -5.87854e+03         625        1376           3        1000      0.0817
  pilot4.mps  -2.58114e+03         410        1000           0         768      0.0596
 pilot87.mps  -4.68344e+01        2030        4883           3        1000      0.2592
pilot.ja.mps   3.10306e+11         940        1988           3        1000      0.0881
   pilot.mps  -4.28586e+03        1441        3652           3        1000      0.2342
pilotnov.mps  -4.49728e+03         975        2172           3        1000      0.0881
pilot.we.mps  -4.09459e+06         722        2789           3        1000      0.0686
   qap08.mps   1.50664e+02         912        1632           3        1000      0.1029
   qap12.mps  -2.15925e-05        3192        8856           3        1000      0.3089
   qap15.mps  -4.82712e+00        6330       22275           3        1000      0.3906
  recipe.mps  -2.66616e+02          91         180           0          39      0.0020
  refine.mps  -3.92692e+05          29          33           0          17      0.0010
   sc105.mps  -5.22021e+01         105         103           0          39      0.0013
   sc205.mps  -5.22021e+01         205         203           0          88      0.0021
   sc50a.mps  -6.45751e+01          50          48           0          15      0.0009
   sc50b.mps  -7.00000e+01          50          48           0          14      0.0009
 scagr25.mps  -1.47534e+07         471         500           0         260      0.0067
  scagr7.mps  -2.33139e+06         129         140           0          76      0.0024
  scfxm1.mps   1.84168e+04         330         457           0         330      0.0089
  scfxm2.mps   3.66603e+04         660         914           0         733      0.0246
  scfxm3.mps   5.45859e+04         990        1371           3        1000      0.0386
scorpion.mps   1.87812e+03         388         358           0         114      0.0050
   scrs8.mps   9.04297e+02         490        1169           0         347      0.0129
   scsd1.mps   8.66667e+00          77         760           0         102      0.0044
   scsd6.mps   5.05000e+01         147        1350           0         247      0.0097
   scsd8.mps   9.05000e+02         397        2750           0         848      0.0456
  sctap1.mps   1.41225e+03         300         480           0         191      0.0061
  sctap2.mps   1.72481e+03        1090        1880           0         312      0.0134
  sctap3.mps   1.42400e+03        1480        2480           0         436      0.0188
    seba.mps   1.57116e+04         515        1028           0           2      0.0050
 share1b.mps  -7.65893e+04         117         225           0         184      0.0041
 ship08l.mps   1.90906e+06         778        4283           0         703      0.0202
 ship08s.mps   1.92010e+06         778        2387           0         387      0.0126
 ship12l.mps   1.47019e+06        1151        5427           0         986      0.0276
 ship12s.mps   1.48924e+06        1151        2763           0         550      0.0145
  sierra.mps   1.53944e+07        1227        2036           0         423      0.0187
   stair.mps  -2.51267e+02         356         467           0         318      0.0175
