    Problema      dot(c,x)  Restrições   Variáveis       Saida   Iterações       Tempo
   afiro.mps  -4.64753e+02          27          32           0          22      0.0008
    agg2.mps  -2.02393e+07         516         302           0         245      0.0076
    agg3.mps   1.03121e+07         516         302           0         303      0.0094
     agg.mps  -3.59918e+07         488         163           0         189      0.0054
   bandm.mps  -1.58628e+02         305         472           0         560      0.0219
   blend.mps  -3.08121e+01          74          83           0          86      0.0018
  degen2.mps  -1.43518e+03         444         534           0         591      0.0261
  degen3.mps  -1.25201e+03        1503        1818           1        1000      0.0938
    e226.mps  -1.16389e+01         223         282           0         319      0.0091
    farm.mps   1.75000e+04           7          12           0           1      0.0007
  israel.mps  -8.96645e+05         174         142           0         150      0.0041
kleemin3.mps  -1.00000e+04           3           3           0           1      0.0005
kleemin4.mps  -1.00000e+06           4           4           0           1      0.0004
kleemin5.mps  -1.00000e+08           5           5           0           1      0.0004
kleemin6.mps  -1.00000e+10           6           6           0           1      0.0005
kleemin7.mps  -1.00000e+12           7           7           0           1      0.0005
kleemin8.mps  -1.00000e+14           8           8           0           1      0.0005
   lotfi.mps  -2.52647e+01         153         308           0         284      0.0061
   sc105.mps  -5.22021e+01         105         103           0         103      0.0018
   sc205.mps  -5.22021e+01         205         203           0         213      0.0049
   sc50a.mps  -6.45751e+01          50          48           0          48      0.0011
   sc50b.mps  -7.00000e+01          50          48           0          48      0.0009
 scagr25.mps  -1.47534e+07         471         500           0         560      0.0163
  scagr7.mps  -2.33139e+06         129         140           0         171      0.0038
  scfxm1.mps   1.84168e+04         330         457           0         405      0.0159
  scfxm2.mps   3.66603e+04         660         914           0         821      0.0276
  scfxm3.mps   4.72663e+04         990        1371           1        1000      0.0300
   scsd1.mps   8.66667e+00          77         760           0         102      0.0042
   scsd6.mps   5.05000e+01         147        1350           0         247      0.0082
   scsd8.mps   9.05000e+02         397        2750           0         848      0.0420
  sctap1.mps   1.41225e+03         300         480           0         283      0.0060
  sctap2.mps   1.72481e+03        1090        1880           0         781      0.0137
  sctap3.mps   1.39528e+03        1480        2480           1        1000      0.0160
 share1b.mps  -7.65893e+04         117         225           0         179      0.0038
stocfor1.mps  -4.11320e+04         117         111           0          79      0.0017
stocfor2.mps  -8.14136e+12        2157        2031           1        1000      0.0288
  wood1p.mps   1.44290e+00         244        2594           0         305      0.0659
