    Problema      dot(c,x)  Restrições   Variáveis       Saida   Iterações       Tempo
   afiro.mps  -4.64753e+02          27          32           0          79      0.0394
    agg2.mps           NaN         516         302           3          49      1.3714
    agg3.mps           NaN         516         302           3          47      1.3546
     agg.mps           NaN         488         163           3          62      1.1336
   bandm.mps   4.09883e+02         305         472           1        1000     15.1754
   blend.mps  -3.08121e+01          74          83           0          19      0.0541
  degen2.mps  -1.43518e+03         444         534           0          13      0.5143
  degen3.mps  -9.87294e+02        1503        1818           2          81     30.2870
    e226.mps  -1.87519e+01         223         282           0          28      0.4421
    farm.mps   1.75000e+04           7          12           0          24      0.0067
  israel.mps  -8.96645e+05         174         142           0         795      9.4469
kleemin3.mps  -1.00000e+04           3           3           0          19      0.0033
kleemin4.mps  -1.00000e+06           4           4           0          30      0.0066
kleemin5.mps  -1.00000e+08           5           5           0          59      0.0123
kleemin6.mps  -1.00000e+10           6           6           0          82      0.0234
kleemin7.mps  -1.00000e+12           7           7           0         117      0.0297
kleemin8.mps           NaN           8           8           3          43      0.0153
   lotfi.mps           NaN         153         308           3         535      4.6556
   sc105.mps  -5.22021e+01         105         103           0          58      0.1218
   sc205.mps  -5.22021e+01         205         203           0          55      0.1865
   sc50a.mps  -6.45751e+01          50          48           0          26      0.0174
   sc50b.mps  -7.00000e+01          50          48           0          22      0.0162
 scagr25.mps           NaN         471         500           3         758      8.4081
  scagr7.mps   1.09842e+63         129         140           1        1000      1.9228
  scfxm1.mps   3.55989e+32         330         457           1        1000     18.0226
  scfxm2.mps           NaN         660         914           3         300     16.2714
  scfxm3.mps   8.45375e+28         990        1371           2         288     30.0473
   scsd1.mps   8.66667e+00          77         760           0          11      0.1548
   scsd6.mps   5.05000e+01         147        1350           0          13      0.5962
   scsd8.mps   9.05000e+02         397        2750           0          12      1.8279
  sctap1.mps   1.41225e+03         300         480           0          19      0.4224
  sctap2.mps   1.72481e+03        1090        1880           0          15      2.3029
  sctap3.mps   1.42400e+03        1480        2480           0          17      4.4216
 share1b.mps           NaN         117         225           3         199      1.1921
stocfor1.mps  -4.11320e+04         117         111           0          47      0.1233
stocfor2.mps  -3.90244e+04        2157        2031           0          61     16.5382
  wood1p.mps   1.44290e+00         244        2594           0          18      4.4073
